,Student ID,"ES 1.1 
(2 points)","ES 1.2 
(3 points)","ES 2.1
(2 points)","ES 2.2
(3 points)","ES 3.1
(1 points)","ES 3.2
(2 points)","ES 3.3
(2 points)","ES 3.4
(2 points)","ES 3.5
(3 points)","ES 4.1
(15 points)","ES 4.2
(10 points)","ES 5.1
(2 points)","ES 5.2
(10 points)","ES 5.3
(3 points)","ES 6.1
(25 points)","ES 6.2
(15 points)","TOTAL
(100 points)"
0,1,2.0,3.0,1.0,0.5,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,25.0,13.0,94.5
1,2,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0
0,3,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,1.0,5.0,3.0,18.0,15.0,85.0
2,4,2.0,3.0,1.0,0.5,1.0,2,0.0,2.0,0.0,3.0,4.0,0.0,1.5,0.0,5.0,5.0,30.0
3,5,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,3.0,3.0,2.0,1.5,9.0,1.5,2.0,1.0,38.5
1,6,2.0,3.0,2.0,3.0,1.0,2,2.0,0.0,3.0,15.0,7.0,2.0,9.0,3.0,13.0,15.0,82.0
2,7,2.0,3.0,1.0,1.5,1.0,2,0.0,0.0,3.0,5.0,4.0,0.0,0.0,3.0,17.0,10.0,52.5
5,8,0.5,3.0,0.0,0.0,1.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
6,9,2.0,3.0,1.0,0.5,1.0,2,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5
3,10,2.0,3.0,2.0,1.5,1.0,2,0.0,2.0,3.0,11.0,1.0,2.0,10.0,1.5,7.0,10.0,59.0
7,11,2.0,3.0,1.0,0.5,1.0,2,2.0,2.0,3.0,12.0,3.0,2.0,8.0,1.5,12.0,5.0,60.0
8,12,2.0,3.0,0.5,2.0,1.0,2,0.0,2.0,3.0,15.0,2.0,0.5,5.5,2.0,0.0,0.0,40.5
4,13,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,3.0,14.5,10.0,2.0,2.0,3.0,25.0,15.0,90.0
9,14,2.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,3.0,10.0,2.0,8.0,3.0,9.0,9.0,64.0
5,15,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,4.0,1.5,2.0,15.0,67.5
6,16,2.0,3.0,1.0,0.0,1.0,2,2.0,2.0,3.0,3.0,9.0,1.0,0.0,3.0,20.0,15.0,67.0
7,17,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,24.0,15.0,97.0
8,18,1.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,15.0,7.0,2.0,2.5,1.5,5.0,10.0,62.0
10,19,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,3.0,1.5,2.0,1.5,5.0,4.0,50.0
9,20,2.0,3.0,2.0,0.0,1.0,2,2.0,2.0,1.5,15.0,10.0,0.0,0.0,3.0,5.0,10.0,58.5
12,22,2.0,3.0,1.0,0.5,1.0,2,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.5,10.0,10.0,40.0
10,24,2.0,3.0,1.0,1.5,1.0,2,2.0,2.0,3.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,32.5
14,25,2.0,3.0,2.0,0.0,1.0,2,2.0,2.0,3.0,15.0,5.0,2.0,10.0,1.5,2.0,5.0,57.5
11,27,2.0,3.0,1.0,2.0,1.0,2,0.0,2.0,3.0,15.0,9.0,0.0,0.0,0.0,24.5,10.0,74.5
12,28,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,0.0,15.0,8.5,2.0,4.0,3.0,19.0,13.0,79.5
13,29,2.0,3.0,2.0,0.0,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,25.0,15.0,97.0
14,30,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
15,32,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,12.0,5.0,75.5
16,33,2.0,3.0,2.0,1.5,1.0,0,0.0,2.0,3.0,3.0,3.0,1.0,7.5,1.5,0.0,0.0,30.5
17,34,2.0,3.0,2.0,0.5,1.0,2,1.5,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
16,36,2.0,3.0,1.0,0.0,1.0,1,0.0,2.0,3.0,13.0,9.0,2.0,10.0,3.0,16.0,13.0,79.0
17,37,2.0,3.0,1.0,0.0,0.0,2,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0
19,38,2.0,3.0,2.0,0.5,1.0,2,2.0,2.0,3.0,15.0,4.0,1.0,2.5,1.5,0.0,0.0,41.5
18,39,2.0,3.0,2.0,0.0,0.0,0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,10.0,15.0,41.0
19,41,2.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,13.0,10.0,2.0,10.0,3.0,25.0,15.0,98.0
21,42,2.0,3.0,1.0,0.5,1.0,2,0.0,2.0,3.0,4.0,2.0,0.5,0.0,1.5,0.0,0.0,22.5
20,44,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,3.0,7.0,0.0,5.0,3.0,4.0,10.0,50.0
23,45,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,3.0,1.5,6.5,2.0,0.0,0.0,46.0
21,46,2.0,3.0,1.0,0.0,1.0,2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
25,47,2.0,3.0,1.0,1.5,1.0,2,0.0,2.0,3.0,7.0,2.0,1.0,1.5,1.0,0.0,0.0,28.0
22,48,2.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,15.0,7.0,0.0,2.5,2.0,10.0,15.0,71.5
26,49,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,0.0,4.0,2.0,0.5,4.0,1.5,2.0,4.0,30.5
23,51,1.5,0.0,0.0,0.0,1.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
28,52,2.0,2.0,2.0,0.0,1.0,2,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,8.0,10.0,36.0
24,53,1.0,3.0,1.0,1.0,1.0,2,2.0,2.0,3.0,15.0,7.0,1.0,8.0,1.5,12.0,10.0,70.5
29,54,2.0,3.0,1.0,1.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,0.0,0.0,39.0
30,55,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,7.0,0.0,36.5
25,56,2.0,3.0,2.0,2.0,1.0,2,2.0,0.0,0.0,15.0,10.0,1.0,4.0,1.5,18.0,8.0,71.5
32,57,0.5,2.0,1.0,0.5,1.0,2,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,23.0
33,58,2.0,3.0,1.0,2.0,1.0,2,0.0,2.0,3.0,14.0,2.0,1.0,5.0,2.0,5.0,3.0,48.0
26,59,2.0,3.0,2.0,0.0,1.0,2,2.0,2.0,3.0,3.0,7.0,2.0,8.0,3.0,0.0,0.0,40.0
35,60,2.0,3.0,1.0,0.0,1.0,2,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.5,0.0,0.0,16.5
36,61,1.5,1.5,2.0,2.0,1.0,2,0.0,2.0,3.0,15.0,4.0,0.5,3.0,1.0,19.0,0.0,57.5
27,62,2.0,3.0,1.0,0.0,1.0,2,2.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0
28,63,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,7.0,6.0,2.0,10.0,3.0,12.0,10.0,69.0
38,64,1.0,2.0,1.0,0.5,1.0,2,2.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,20.5
29,66,2.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,18.0,10.0,86.0
30,67,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,14.5,10.0,2.0,8.0,3.0,15.0,10.0,80.5
31,68,2.0,3.0,2.0,3.0,1.0,2,2.0,1.5,3.0,13.0,7.0,2.0,10.0,3.0,5.0,3.0,62.5
41,69,1.5,3.0,1.5,0.5,1.0,2,0.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,23.5
42,70,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,15.0,8.5,1.0,0.0,0.0,12.0,5.0,60.5
43,71,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,0.5,5.0,1.5,25.0,14.5,90.5
32,72,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,15.0,7.0,2.0,10.0,3.0,24.0,15.0,95.0
33,73,2.0,3.0,1.0,0.0,1.0,2,0.0,0.0,3.0,3.0,4.0,0.0,0.0,1.5,3.0,5.0,28.5
34,74,1.5,2.0,1.5,0.0,1.0,2,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0
45,75,2.0,2.0,2.0,1.5,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,7.5,1.5,24.0,10.0,87.5
35,76,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,2.0,15.0,10.0,2.0,10.0,3.0,24.0,12.0,93.5
46,77,2.0,3.0,1.0,0.5,1.0,2,2.0,2.0,3.0,15.0,4.0,1.5,6.0,1.5,16.0,6.0,66.5
36,78,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,4.0,0.0,5.0,1.5,24.5,10.0,78.0
47,79,2.0,3.0,1.0,1.5,0.5,2,2.0,2.0,3.0,13.0,4.0,1.0,9.0,1.5,25.0,14.0,84.5
48,80,2.0,3.0,1.0,0.5,1.0,2,2.0,2.0,3.0,7.0,4.0,0.0,7.5,1.5,5.0,10.0,51.5
37,81,2.0,3.0,1.0,0.0,1.0,2,2.0,2.0,3.0,15.0,7.0,2.0,4.0,3.0,25.0,15.0,87.0
49,82,2.0,3.0,1.0,0.5,1.0,2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.5
38,83,2.0,3.0,2.0,0.0,1.0,2,0.0,2.0,0.0,3.0,3.0,2.0,4.0,1.5,10.0,0.0,35.5
39,85,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,3.0,13.0,10.0,2.0,0.0,1.5,25.0,12.0,82.0
40,86,2.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,15.0,10.0,1.0,5.0,3.0,25.0,15.0,94.0
41,87,2.0,3.0,1.5,1.5,1.0,2,2.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,8.0,13.0,46.0
42,88,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,25.0,15.0,96.0
43,89,2.0,3.0,1.5,0.0,1.0,2,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.5
52,91,2.0,2.0,1.0,2.0,1.0,2,2.0,2.0,3.0,5.0,10.0,0.0,5.5,2.0,17.0,10.0,66.5
44,92,1.5,3.0,1.0,0.0,1.0,2,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,19.5
45,93,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,3.0,3.0,6.0,0.0,0.0,1.5,24.0,13.0,66.0
54,94,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,8.5,2.0,9.0,2.0,25.0,13.0,92.5
55,95,2.0,3.0,1.0,0.5,1.0,2,0.0,2.0,3.0,15.0,8.0,0.0,0.0,0.0,10.0,5.0,52.5
46,96,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,3.0,15.0,7.0,2.0,10.0,3.0,12.0,10.0,77.5
47,98,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,13.0,10.0,2.0,4.0,1.5,10.0,8.0,66.5
48,99,1.5,3.0,0.0,0.0,1.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
49,100,2.0,3.0,1.0,1.5,1.0,2,2.0,2.0,3.0,13.0,7.0,2.0,8.0,1.5,24.0,10.0,83.0
50,101,2.0,3.0,0.5,1.0,1.0,2,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.5
58,102,2.0,3.0,1.0,1.5,1.0,0,0.0,2.0,3.0,12.0,3.0,0.0,0.0,0.0,2.0,1.0,31.5
59,103,2.0,3.0,1.0,1.5,1.0,2,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5
60,104,2.0,3.0,1.0,1.5,1.0,2,2.0,2.0,3.0,15.0,9.0,2.0,8.0,3.0,24.5,13.0,92.0
51,106,2.0,3.0,1.5,0.0,1.0,2,2.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,7.0,15.0,45.5
