,ID,MID2,MID3,MID4,MID5,MID6,FIN2,FIN3,FIN4,FIN5,FIN6,RES2,RES3,RES4,RES5,RES6
0,1,83.33,0.0,90.0,100.0,56.25,11.0,37.0,55.0,32.0,57.5,1,0,0,1,0
1,2,66.67,87.5,90.0,100.0,25.0,12.0,35.0,23.0,15.0,5.0,1,1,1,1,1
2,3,58.33,87.5,90.0,100.0,0.0,41.0,37.0,55.0,26.0,55.5,0,1,0,1,0
3,4,100.0,100.0,100.0,87.5,68.75,11.0,5.0,19.0,1.5,17.5,1,1,1,1,1
4,5,83.33,100.0,100.0,100.0,68.75,32.0,37.0,11.0,20.5,4.5,1,1,1,1,1
5,6,91.67,87.5,90.0,75.0,75.0,62.0,35.0,43.0,31.0,50.5,0,1,1,1,0
6,7,66.67,100.0,90.0,100.0,50.0,31.0,33.0,21.0,20.0,42.0,1,1,1,1,0
7,8,66.67,87.5,80.0,75.0,0.0,0.0,5.0,0.0,0.0,0.0,1,1,1,1,0
8,9,0.0,75.0,80.0,100.0,50.0,11.0,37.0,2.0,0.0,0.0,0,1,1,1,1
9,10,83.33,100.0,90.0,100.0,75.0,32.0,35.0,15.0,22.0,32.0,1,1,1,1,1
10,11,66.67,50.0,100.0,100.0,37.5,11.0,37.0,24.0,20.0,24.5,1,0,1,1,0
11,12,58.33,87.5,90.0,100.0,50.0,40.5,35.0,23.0,19.333333333333336,0.0,0,1,1,1,1
12,13,0.0,0.0,100.0,100.0,75.0,32.0,37.0,54.5,24.0,62.5,0,0,0,1,0
13,14,100.0,100.0,100.0,100.0,68.75,62.0,37.0,43.0,30.0,31.5,0,1,1,1,1
14,15,33.33,100.0,100.0,100.0,50.0,41.0,37.0,55.0,16.0,39.5,0,1,0,1,0
15,16,50.0,62.5,100.0,100.0,50.0,1.0,37.0,39.0,21.0,57.5,1,0,1,1,0
16,17,58.33,87.5,100.0,100.0,100.0,41.0,37.0,55.0,32.0,61.5,0,1,0,1,0
17,18,83.33,100.0,90.0,100.0,75.0,62.0,37.0,43.0,14.5,30.0,0,1,1,1,1
18,19,66.67,50.0,90.0,100.0,37.5,41.0,37.0,27.0,13.5,15.0,0,0,1,1,1
19,20,50.0,75.0,90.0,87.5,50.0,2.0,22.0,55.0,20.0,30.0,1,1,0,1,0
20,22,75.0,0.0,80.0,100.0,0.0,11.0,35.0,4.0,10.0,35.0,1,0,1,1,0
21,24,41.67,50.0,90.0,87.5,75.0,31.0,37.0,15.0,20.0,0.0,0,0,1,1,1
22,25,0.0,37.5,90.0,100.0,56.25,2.0,37.0,35.0,22.0,14.5,0,0,1,1,1
23,27,0.0,75.0,90.0,100.0,43.75,41.0,35.0,51.0,0.0,49.5,0,1,0,1,0
24,28,100.0,100.0,100.0,100.0,75.0,41.0,7.0,49.0,26.0,51.5,1,1,1,1,0
25,29,66.67,75.0,100.0,100.0,93.75,2.0,37.0,55.0,32.0,62.5,1,1,0,1,0
26,30,50.0,50.0,90.0,100.0,68.75,2.0,0.0,11.0,0.0,0.0,1,1,1,1,1
27,32,91.67,100.0,100.0,100.0,87.5,32.0,37.0,55.0,32.0,24.5,1,1,0,1,1
28,33,0.0,0.0,80.0,0.0,0.0,32.0,33.0,15.0,18.5,0.0,0,0,1,0,0
29,34,75.0,87.5,100.0,75.0,31.25,12.0,6.5,4.0,0.0,0.0,1,1,1,1,1
30,36,91.67,100.0,100.0,100.0,68.75,1.0,34.0,49.0,32.0,48.5,1,1,1,1,0
31,37,0.0,0.0,90.0,87.5,75.0,1.0,4.0,12.0,0.0,0.0,0,0,1,1,1
32,38,66.67,62.5,90.0,87.5,75.0,12.0,37.0,31.0,13.5,0.0,1,0,1,1,1
33,39,50.0,25.0,90.0,87.5,62.5,2.0,2.0,19.0,0.0,47.5,1,1,1,1,0
34,41,91.67,100.0,100.0,100.0,81.25,62.0,37.0,53.0,32.0,62.5,0,1,0,1,0
35,42,50.0,62.5,80.0,100.0,37.5,11.0,35.0,12.0,10.5,0.0,1,0,1,1,1
36,44,91.67,100.0,90.0,100.0,75.0,41.0,37.0,31.000000000000004,25.0,29.0,1,1,1,1,1
37,45,0.0,25.0,90.0,62.5,0.0,41.0,37.0,27.0,21.333333333333336,0.0,0,0,1,1,0
38,46,33.33,12.5,80.0,100.0,25.0,1.0,3.0,6.0,0.0,0.0,1,1,1,1,1
39,47,66.67,50.0,80.0,62.5,6.25,31.0,35.0,15.0,9.166666666666668,0.0,1,0,1,1,1
40,48,58.33,62.5,90.0,100.0,62.5,62.0,37.0,43.0,15.833333333333334,47.5,0,0,1,1,0
41,49,50.0,62.5,90.0,87.5,68.75,12.0,5.0,12.0,14.5,12.0,1,1,1,1,1
42,51,16.67,25.0,80.0,100.0,12.5,0.0,7.0,0.0,0.0,0.0,1,1,1,1,1
43,52,100.0,100.0,100.0,100.0,56.25,2.0,3.0,12.0,20.0,33.0,1,1,1,1,0
44,53,66.67,75.0,90.0,87.5,75.0,21.0,37.0,43.0,19.0,37.0,1,1,1,1,1
45,54,75.0,87.5,90.0,87.5,18.75,31.0,35.0,23.0,15.0,0.0,1,1,1,1,1
46,55,33.33,87.5,90.0,100.0,62.5,32.0,37.0,32.0,0.0,7.0,0,1,1,1,1
47,56,41.67,75.0,90.0,75.0,75.0,42.0,5.0,55.0,15.0,38.0,0,1,0,1,0
48,57,0.0,0.0,90.0,0.0,68.75,11.0,35.0,2.0,0.0,15.0,0,0,1,0,1
49,58,0.0,0.0,90.0,0.0,0.0,41.0,35.0,22.0,19.333333333333336,12.5,0,0,1,0,0
50,59,58.33,50.0,80.0,87.5,50.0,2.0,37.0,31.000000000000004,30.0,0.0,1,0,1,1,1
51,60,33.33,12.5,80.0,87.5,25.0,1.0,3.0,11.0,11.0,0.0,1,1,1,1,1
52,61,0.0,25.0,90.0,87.5,37.5,42.0,35.0,31.0,10.166666666666668,19.0,0,0,1,1,0
53,62,0.0,0.0,80.0,0.0,0.0,1.0,37.0,15.0,0.0,0.0,0,0,1,0,0
54,63,58.33,37.5,100.0,87.5,25.0,42.0,37.0,31.0,32.0,37.0,0,0,1,1,0
55,64,0.0,0.0,80.0,87.5,37.5,11.0,37.0,12.0,0.0,0.0,0,0,1,1,1
56,66,0.0,50.0,90.0,75.0,56.25,62.0,37.0,55.0,30.0,43.0,0,0,0,1,0
57,67,91.67,100.0,90.0,100.0,68.75,41.0,37.0,54.5,30.0,40.0,1,1,0,1,0
58,68,91.67,87.5,100.0,100.0,75.0,62.0,36.5,41.0,32.0,12.5,0,1,1,1,1
59,69,0.0,12.5,80.0,100.0,50.0,11.5,35.0,7.0,0.0,5.0,0,0,1,1,1
60,70,91.67,100.0,100.0,100.0,81.25,42.0,37.0,49.0,1.0,24.5,1,1,1,1,1
61,71,83.33,0.0,100.0,87.5,0.0,42.0,37.0,55.0,15.5,61.25,0,0,0,1,0
62,72,75.0,75.0,80.0,87.5,68.75,42.0,37.0,43.0,32.0,61.5,0,1,0,1,0
63,73,75.0,75.0,80.0,0.0,50.0,1.0,33.0,19.0,10.0,15.5,1,1,1,0,1
64,74,50.0,37.5,100.0,100.0,43.75,1.5,35.0,11.0,0.0,0.0,1,0,1,1,1
65,75,0.0,100.0,100.0,100.0,50.0,32.0,37.0,55.0,19.5,49.0,0,1,0,1,0
66,76,66.67,100.0,80.0,100.0,50.0,32.0,27.0,55.0,32.0,54.0,1,1,0,1,0
67,77,0.0,0.0,80.0,0.0,0.0,11.0,37.0,31.0,17.5,31.0,0,0,1,0,0
68,78,41.67,75.0,100.0,100.0,68.75,41.0,37.0,31.0,15.0,49.5,0,1,1,1,0
69,79,83.33,87.5,90.0,100.0,68.75,31.0,36.5,29.0,20.0,60.0,1,1,1,1,0
70,80,58.33,25.0,100.0,100.0,62.5,11.0,37.0,23.0,17.5,30.0,1,0,1,1,1
71,81,83.33,100.0,100.0,100.0,68.75,1.0,37.0,43.0,26.0,62.5,1,1,1,1,0
72,82,41.67,62.5,80.0,87.5,37.5,11.0,3.0,10.0,0.0,0.0,1,1,1,1,1
73,83,66.67,62.5,90.0,100.0,50.0,2.0,5.0,15.0,16.0,10.0,1,1,1,1,1
74,85,100.0,100.0,100.0,100.0,100.0,32.0,37.0,53.0,12.0,55.0,1,1,0,1,0
75,86,83.33,100.0,100.0,100.0,81.25,62.0,37.0,55.0,26.0,62.5,0,1,0,1,0
76,87,66.67,87.5,90.0,87.5,56.25,31.5,37.0,19.0,0.0,40.5,1,1,1,1,0
77,88,83.33,75.0,100.0,100.0,68.75,41.0,37.0,55.0,30.0,62.5,1,1,0,1,0
78,89,8.33,37.5,70.0,62.5,12.5,1.5,35.0,8.0,0.0,0.0,1,0,1,1,1
79,91,100.0,100.0,100.0,100.0,56.25,41.0,37.0,45.0,18.833333333333336,42.0,1,1,1,1,0
80,92,41.67,62.5,90.0,100.0,25.0,1.0,5.0,27.0,0.0,0.0,1,1,1,1,1
81,93,66.67,100.0,90.0,100.0,37.5,32.0,37.0,27.0,10.0,56.5,1,1,1,1,0
82,94,91.67,100.0,100.0,100.0,68.75,41.0,37.0,49.0,24.333333333333336,57.5,1,1,1,1,0
83,95,66.67,87.5,100.0,75.0,81.25,11.0,35.0,47.0,0.0,22.5,1,1,1,1,1
84,96,75.0,0.0,100.0,100.0,56.25,32.0,37.0,43.0,32.0,37.0,1,0,1,1,0
85,98,58.33,100.0,100.0,100.0,75.0,41.0,37.0,53.0,16.0,30.0,0,1,0,1,1
86,99,33.33,62.5,80.0,87.5,37.5,0.0,5.0,0.0,0.0,0.0,1,1,1,1,1
87,100,58.33,50.0,0.0,100.0,75.0,31.0,37.0,41.0,20.0,49.0,0,0,0,1,0
88,101,75.0,37.5,0.0,87.5,0.0,20.5,33.0,15.0,0.0,0.0,1,0,0,1,0
89,102,75.0,100.0,80.0,87.5,50.0,31.0,33.0,24.0,0.0,4.5,1,1,1,1,1
90,103,33.33,0.0,0.0,87.5,0.0,31.0,35.0,3.0,0.0,0.0,0,0,0,1,0
91,104,100.0,0.0,90.0,100.0,68.75,31.0,37.0,51.0,30.0,57.0,1,0,0,1,0
92,106,0.0,87.5,0.0,0.0,0.0,1.5,37.0,19.0,0.0,44.5,0,1,0,0,0
